C:\Users\harid\OneDrive\Desktop\Bachelor\BachelorProject\Tetris-deep-Q-learning-pytorch-master\venv\Scripts\python.exe C:\Users\harid\OneDrive\Desktop\Bachelor\BachelorProject\Tetris-deep-Q-learning-pytorch-master\train.py 
Epoch: 1/3000, Action: (4, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 46/3000, Action: (6, 1), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 47/3000, Action: (3, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 48/3000, Action: (4, 1), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 49/3000, Action: (3, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 50/3000, Action: (1, 0), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 51/3000, Action: (4, 0), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 52/3000, Action: (1, 3), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 53/3000, Action: (4, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 54/3000, Action: (6, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 55/3000, Action: (3, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 56/3000, Action: (2, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 57/3000, Action: (2, 2), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 58/3000, Action: (0, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 59/3000, Action: (5, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 60/3000, Action: (0, 2), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 61/3000, Action: (2, 2), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 62/3000, Action: (0, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 63/3000, Action: (5, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 64/3000, Action: (5, 1), Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 65/3000, Action: (4, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 66/3000, Action: (6, 0), Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 67/3000, Action: (3, 1), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 68/3000, Action: (1, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 69/3000, Action: (4, 3), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 70/3000, Action: (4, 1), Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 71/3000, Action: (5, 3), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 72/3000, Action: (1, 1), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 73/3000, Action: (6, 0), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 74/3000, Action: (5, 1), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 75/3000, Action: (6, 1), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 76/3000, Action: (4, 1), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 77/3000, Action: (1, 3), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 78/3000, Action: (1, 2), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 79/3000, Action: (2, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 80/3000, Action: (5, 0), Score: 25, Tetrominoes 27, Cleared lines: 0
Epoch: 81/3000, Action: (0, 0), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 82/3000, Action: (5, 1), Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 83/3000, Action: (0, 1), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 84/3000, Action: (3, 3), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 85/3000, Action: (3, 2), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 86/3000, Action: (4, 1), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 87/3000, Action: (5, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 88/3000, Action: (1, 1), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 89/3000, Action: (2, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 90/3000, Action: (5, 2), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 91/3000, Action: (4, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 92/3000, Action: (5, 3), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 93/3000, Action: (1, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 94/3000, Action: (8, 1), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 95/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 96/3000, Action: (5, 0), Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 97/3000, Action: (4, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 98/3000, Action: (6, 0), Score: 27, Tetrominoes 19, Cleared lines: 1
Epoch: 99/3000, Action: (2, 3), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 100/3000, Action: (3, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 101/3000, Action: (5, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 102/3000, Action: (4, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 103/3000, Action: (2, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 104/3000, Action: (0, 1), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 105/3000, Action: (2, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 106/3000, Action: (3, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 107/3000, Action: (4, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 108/3000, Action: (2, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 109/3000, Action: (6, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 110/3000, Action: (3, 3), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 111/3000, Action: (1, 0), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 112/3000, Action: (2, 0), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 113/3000, Action: (6, 0), Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 114/3000, Action: (2, 0), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 115/3000, Action: (6, 3), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 116/3000, Action: (3, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 117/3000, Action: (6, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 118/3000, Action: (3, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 119/3000, Action: (9, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 120/3000, Action: (5, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 121/3000, Action: (2, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 122/3000, Action: (3, 2), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 123/3000, Action: (5, 0), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 124/3000, Action: (3, 1), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 125/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 126/3000, Action: (4, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 127/3000, Action: (3, 2), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 128/3000, Action: (7, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 129/3000, Action: (2, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 130/3000, Action: (1, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 131/3000, Action: (2, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 132/3000, Action: (5, 1), Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 133/3000, Action: (6, 0), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 134/3000, Action: (5, 3), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 135/3000, Action: (2, 1), Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 136/3000, Action: (8, 1), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 137/3000, Action: (4, 1), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 138/3000, Action: (3, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 139/3000, Action: (5, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 140/3000, Action: (5, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 141/3000, Action: (2, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 142/3000, Action: (4, 3), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 143/3000, Action: (4, 0), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 144/3000, Action: (4, 1), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 145/3000, Action: (3, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 146/3000, Action: (1, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 147/3000, Action: (5, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 148/3000, Action: (3, 3), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 149/3000, Action: (5, 3), Score: 8, Tetrominoes 10, Cleared lines: 0
Epoch: 150/3000, Action: (0, 1), Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 151/3000, Action: (6, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 152/3000, Action: (2, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 153/3000, Action: (4, 2), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 154/3000, Action: (5, 2), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 155/3000, Action: (7, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 156/3000, Action: (2, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 157/3000, Action: (2, 3), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 158/3000, Action: (2, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 159/3000, Action: (3, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 160/3000, Action: (6, 2), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 161/3000, Action: (4, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 162/3000, Action: (2, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 163/3000, Action: (6, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 164/3000, Action: (2, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 165/3000, Action: (3, 3), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 166/3000, Action: (3, 3), Score: 8, Tetrominoes 10, Cleared lines: 0
Epoch: 167/3000, Action: (3, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 168/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 169/3000, Action: (0, 2), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 170/3000, Action: (3, 3), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 171/3000, Action: (3, 2), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 172/3000, Action: (0, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 173/3000, Action: (5, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 174/3000, Action: (2, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 175/3000, Action: (4, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 176/3000, Action: (3, 3), Score: 8, Tetrominoes 10, Cleared lines: 0
Epoch: 177/3000, Action: (4, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 178/3000, Action: (3, 3), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 179/3000, Action: (3, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 180/3000, Action: (8, 1), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 181/3000, Action: (5, 0), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 182/3000, Action: (4, 0), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 183/3000, Action: (5, 0), Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 184/3000, Action: (4, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 185/3000, Action: (5, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 186/3000, Action: (7, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 187/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 188/3000, Action: (3, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 189/3000, Action: (1, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 190/3000, Action: (3, 0), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 191/3000, Action: (3, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 192/3000, Action: (6, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 193/3000, Action: (8, 3), Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 194/3000, Action: (3, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 195/3000, Action: (5, 2), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 196/3000, Action: (3, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 197/3000, Action: (5, 1), Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 198/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 199/3000, Action: (4, 3), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 200/3000, Action: (5, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 201/3000, Action: (2, 2), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 202/3000, Action: (0, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 203/3000, Action: (4, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 204/3000, Action: (4, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 205/3000, Action: (6, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 206/3000, Action: (2, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 207/3000, Action: (3, 0), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 208/3000, Action: (7, 0), Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 209/3000, Action: (6, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 210/3000, Action: (3, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 211/3000, Action: (5, 1), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 212/3000, Action: (2, 1), Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 213/3000, Action: (6, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 214/3000, Action: (4, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 215/3000, Action: (3, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 216/3000, Action: (6, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 217/3000, Action: (8, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 218/3000, Action: (5, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 219/3000, Action: (4, 0), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 220/3000, Action: (3, 1), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 221/3000, Action: (3, 3), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 222/3000, Action: (4, 0), Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 223/3000, Action: (5, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 224/3000, Action: (5, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 225/3000, Action: (5, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 226/3000, Action: (0, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 227/3000, Action: (7, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 228/3000, Action: (4, 1), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 229/3000, Action: (5, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 230/3000, Action: (4, 3), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 231/3000, Action: (3, 0), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 232/3000, Action: (4, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 233/3000, Action: (5, 1), Score: 25, Tetrominoes 27, Cleared lines: 0
Epoch: 234/3000, Action: (7, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 235/3000, Action: (3, 3), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 236/3000, Action: (2, 2), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 237/3000, Action: (3, 1), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 238/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 239/3000, Action: (2, 2), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 240/3000, Action: (2, 2), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 241/3000, Action: (5, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 242/3000, Action: (4, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 243/3000, Action: (1, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 244/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 245/3000, Action: (0, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 246/3000, Action: (2, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 247/3000, Action: (3, 1), Score: 7, Tetrominoes 9, Cleared lines: 0
Epoch: 248/3000, Action: (6, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 249/3000, Action: (4, 0), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 250/3000, Action: (4, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 251/3000, Action: (2, 1), Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 252/3000, Action: (3, 0), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 253/3000, Action: (1, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 254/3000, Action: (4, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 255/3000, Action: (6, 0), Score: 25, Tetrominoes 27, Cleared lines: 0
Epoch: 256/3000, Action: (5, 2), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 257/3000, Action: (3, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 258/3000, Action: (1, 0), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 259/3000, Action: (1, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 260/3000, Action: (0, 1), Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 261/3000, Action: (5, 1), Score: 31, Tetrominoes 23, Cleared lines: 1
Epoch: 262/3000, Action: (4, 0), Score: 33, Tetrominoes 25, Cleared lines: 1
Epoch: 263/3000, Action: (0, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 264/3000, Action: (6, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 265/3000, Action: (2, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 266/3000, Action: (2, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 267/3000, Action: (4, 1), Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 268/3000, Action: (2, 1), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 269/3000, Action: (6, 0), Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 270/3000, Action: (5, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 271/3000, Action: (2, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 272/3000, Action: (4, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 273/3000, Action: (1, 3), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 274/3000, Action: (5, 0), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 275/3000, Action: (2, 1), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 276/3000, Action: (3, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 277/3000, Action: (2, 2), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 278/3000, Action: (5, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 279/3000, Action: (2, 2), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 280/3000, Action: (5, 0), Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 281/3000, Action: (3, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 282/3000, Action: (4, 1), Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 283/3000, Action: (7, 3), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 284/3000, Action: (5, 0), Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 285/3000, Action: (8, 0), Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 286/3000, Action: (4, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 287/3000, Action: (7, 1), Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 288/3000, Action: (2, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 289/3000, Action: (4, 1), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 290/3000, Action: (1, 1), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 291/3000, Action: (0, 0), Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 292/3000, Action: (6, 2), Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 293/3000, Action: (2, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 294/3000, Action: (5, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 295/3000, Action: (1, 0), Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 296/3000, Action: (3, 1), Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 297/3000, Action: (3, 1), Score: 17, Tetrominoes 19, Cleared lines: 0
